muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
337.08688;0;337.08688;0.01031;337.08688;0.01688;337.08688;0.02422;337.08688;0.03721;337.08688;0.02828
337.54477;-0.00064;337.54477;0.00191;337.54477;0.00128;337.54477;0.01293;337.54477;0.00384;337.54477;0.02693
338.00267;0;338.00267;0.00835;338.00267;0.00416;338.00267;0.0133;338.00267;0.0183;338.00267;0.00346
338.4606;0.0177;338.4606;0.0157;338.4606;0.04249;338.4606;0.04037;338.4606;0.02649;338.4606;0.03686
338.91856;0.01045;338.91856;0.0131;338.91856;0.0151;338.91856;0.03562;338.91856;0.04554;338.91856;0.0273
339.37653;0.0027;339.37653;0.01784;339.37653;0.02776;339.37653;0.04382;339.37653;0.03645;339.37653;0.02277
339.83453;0.00776;339.83453;0.01832;339.83453;0.02167;339.83453;0.02369;339.83453;0.03814;339.83453;0.02777
340.29256;0.00462;340.29256;0.01604;340.29256;0.02917;340.29256;0.05445;340.29256;0.05296;340.29256;0.05074
340.75061;0.00522;340.75061;0.01989;340.75061;0.03019;340.75061;0.04648;340.75061;0.03019;340.75061;0.03509
341.20868;0.00331;341.20868;0.01611;341.20868;0.03785;341.20868;0.03857;341.20868;0.0357;341.20868;0.0251
341.66678;0.00391;341.66678;0.02125;341.66678;0.02673;341.66678;0.0634;341.66678;0.0567;341.66678;0.04937
342.1249;-0.00132;342.1249;0.01001;342.1249;0.0408;342.1249;0.0329;342.1249;0.03575;342.1249;0.02513
342.58305;-0.00315;342.58305;0.00573;342.58305;0.03624;342.58305;0.04038;342.58305;0.03078;342.58305;0.02605
343.04121;0.01234;343.04121;0.02439;343.04121;0.03679;343.04121;0.04956;343.04121;0.05782;343.04121;0.02957
343.49941;0.003;343.49941;0.0146;343.49941;0.04536;343.49941;0.06022;343.49941;0.06229;343.49941;0.0447
343.95763;0.01396;343.95763;0.02143;343.95763;0.04862;343.95763;0.06013;343.95763;0.05197;343.95763;0.05535
344.41587;0.00543;344.41587;0.02026;344.41587;0.0522;344.41587;0.06805;344.41587;0.0604;344.41587;0.05356
344.87413;0.00723;344.87413;0.02521;344.87413;0.03676;344.87413;0.03741;344.87413;0.07055;344.87413;0.04463
345.33242;0.0084;345.33242;0.03205;345.33242;0.06527;345.33242;0.06665;345.33242;0.07646;345.33242;0.04967
345.79074;0.00185;345.79074;0.02276;345.79074;0.04816;345.79074;0.065;345.79074;0.06073;345.79074;0.04133
346.24908;0.02128;346.24908;0.02692;346.24908;0.04893;346.24908;0.07634;346.24908;0.06311;346.24908;0.043
346.70744;0.0146;346.70744;0.02398;346.70744;0.06436;346.70744;0.06925;346.70744;0.06715;346.70744;0.06506
347.16583;0.00543;347.16583;0.02278;347.16583;0.06386;347.16583;0.07228;347.16583;0.07157;347.16583;0.03366
347.62424;0.00354;347.62424;0.02413;347.62424;0.07058;347.62424;0.07684;347.62424;0.07544;347.62424;0.06714
348.08268;0.00061;348.08268;0.01104;348.08268;0.04194;348.08268;0.06948;348.08268;0.06173;348.08268;0.0507
348.54114;0.00351;348.54114;0.01664;348.54114;0.05525;348.54114;0.0653;348.54114;0.07558;348.54114;0.04608
348.99962;0.00835;348.99962;0.03499;348.99962;0.05143;348.99962;0.08361;348.99962;0.07962;348.99962;0.0711
349.45813;0.02482;349.45813;0.042;349.45813;0.0733;349.45813;0.08715;349.45813;0.10354;349.45813;0.07918
349.91667;0.00987;349.91667;0.03853;349.91667;0.08081;349.91667;0.08739;349.91667;0.08607;349.91667;0.04993
350.37523;0.01055;350.37523;0.02135;350.37523;0.06942;350.37523;0.08514;350.37523;0.09938;350.37523;0.0624
350.83381;0.02717;350.83381;0.04;350.83381;0.05733;350.83381;0.08974;350.83381;0.09357;350.83381;0.06028
