100 ms;;1s;;10 ms;
lambda_100;intensity_100;lambda_1000;intensity_1000;lambda_10;intensity_10
350;-0.81531;350;-13.47759;350;-2.27702
351;3.08488;351;16.49541;351;2.93902
352;-1.43092;352;-1.85381;352;-3.0791
353;3.44426;353;-4.52449;353;0.12191
354;-4.28291;354;3.36048;354;2.29518
355;-1.30798;355;-3.18878;355;-10.26948
356;4.90814;356;2.7886;356;-8.41862
357;2.9769;357;10.96345;357;-3.79502
358;-6.37633;358;6.16364;358;-3.3154
359;5.31994;359;14.3834;359;2.73228
360;6.50957;360;7.17191;360;-3.81869
361;4.7186;361;1.53402;361;-3.85409
362;1.12332;362;1.83935;362;0.1451
363;3.93514;363;1.33678;363;-1.313
364;-0.35761;364;23.3185;364;2.87723
365;-0.65586;365;15.58994;365;0.07817
366;4.66759;366;28.59885;366;4.15166
367;4.30364;367;27.98298;367;-10.51583
368;6.03945;368;28.63074;368;-5.03004
369;4.72359;369;33.54029;369;-5.40435
370;10.577;370;50.75463;370;1.60622
371;4.63095;371;28.38623;371;3.58643
372;3.56261;372;25.75583;372;3.37152
373;5.56589;373;32.74376;373;1.32007
374;4.98814;374;41.46964;374;-0.132
375;5.49272;375;32.41925;375;9.0609
376;6.7264;376;31.51073;376;-1.74777
377;4.27236;377;49.03738;377;3.44479
378;4.457;378;46.38424;378;6.87423
379;7.61384;379;48.14374;379;6.66909
380;7.40421;380;38.64474;380;5.27631
381;13.29898;381;40.44108;381;0.88696
382;12.92332;382;42.24678;382;-0.68055
383;11.39144;383;55.75508;383;2.25003
384;8.73376;384;50.94652;384;3.90168
385;12.67891;385;73.3527;385;5.73269
386;19.56489;386;78.46226;386;5.37444
387;9.6674;387;79.32238;387;6.585
388;6.60836;388;114.94782;388;6.49657
389;10.93;389;108.15426;389;4.83717
390;7.50953;390;69.16819;390;2.77994
391;12.65999;391;74.47054;391;5.37134
392;8.92237;392;73.10628;392;4.32194
393;14.13307;393;76.72183;393;6.99872
394;12.68319;394;73.95582;394;4.44704
395;5.53662;395;57.29221;395;-1.53645
396;11.21755;396;120.01465;396;4.95919
397;31.18158;397;237.3555;397;9.22417
398;12.3767;398;97.50485;398;7.22969
399;20.70406;399;138.64788;399;4.94932
400;13.29679;400;103.69822;400;3.9128
401;13.34312;401;73.75947;401;4.19225
402;12.21748;402;93.04732;402;4.40317
403;17.86802;403;84.25364;403;6.37435
404;13.55949;404;109.99488;404;6.09017
405;16.93195;405;114.78166;405;6.01412
406;18.80366;406;156.82018;406;11.28181
407;16.27775;407;131.1866;407;9.95913
408;18.40983;408;137.24739;408;12.32318
409;22.41822;409;204.53377;409;10.99079
410;83.49561;410;785.94441;410;15.05919
411;17.545;411;114.21594;411;4.40971
412;16.2313;412;111.4073;412;9.4686
413;14.69868;413;106.96913;413;0.53003
414;20.2993;414;112.88138;414;11.7042
415;13.71121;415;109.89245;415;9.56863
416;16.96056;416;145.00804;416;5.83446
417;16.65725;417;140.93508;417;2.2475
418;24.27404;418;154.61753;418;2.21318
419;7.45358;419;105.44667;419;2.74979
420;17.58981;420;129.43683;420;1.8333
421;17.95528;421;113.89961;421;7.51539
422;19.88496;422;119.90844;422;9.06595
423;14.34534;423;95.21029;423;10.31368
424;13.38268;424;98.11636;424;5.54143
425;10.43197;425;96.70921;425;9.10907
